institute_short,program_name,program_duration,degree_short,quota,pool,category,is_preparatory,opening_rank,closing_rank
IIT-Guwahati,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,10,19
IIT-Delhi,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,10,130
NIT-Warangal,Electronics and Communication Engineering,4 Years,B.Tech,HS,Gender-Neutral,SC-PWD,0,10,10
IIT-Delhi,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,10,10
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL,0,10,84
NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,ST-PWD,0,10,10
IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,11,304
IIT-Bombay,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,11,11
IIT-Madras,Aerospace Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,11,46
IIT-Delhi,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,11,432
IIT-Delhi,Engineering Physics,4 Years,B.Tech,AI,Female-Only,ST,1,11,11
IIT-Delhi,Electrical Engineering - Power and Automation,4 Years,B.Tech,AI,Gender-Neutral,ST,0,11,235
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,11,53
IIT-Patna,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,11,46
IIT-Patna,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,11,11
IIT-Delhi,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,OBC-NCL-PWD,0,11,11
IIT-Kharagpur,Ocean Engineering and Naval Architecture,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,1,11,11
IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,1,11,86
IIT-Kharagpur,Metallurgical and Materials Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,ST,0,11,972
NIT-Tiruchirappalli,Architecture,5 Years,B.Arch,OS,Gender-Neutral,OBC-NCL-PWD,0,11,11
IIT-Bombay,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,11,11
NIT-Bhopal,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,GEN-EWS-PWD,0,11,58
IIT-Tirupati,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,12,12
NIT-Karnataka-Surathkal,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,12,56
IIT-Roorkee,Geological Technology,5 Years,Int M.Tech,AI,Female-Only,SC,0,12,3277
NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,12,12
IIT-Delhi,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,12,57
IIT-(BHU) Varanasi,Metallurgical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,12,80
IIT-Madras,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,12,47
IIT-(BHU) Varanasi,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,12,219
NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST,0,13,105
IIT-Bombay,Economics,4 Years,BSc,AI,Gender-Neutral,GEN-PWD,0,13,51
IIT-(BHU) Varanasi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,13,16
IIT-Hyderabad,Artificial Intelligence,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,13,13
IIT-Roorkee,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,13,25
NIT-Rourkela,Architecture,5 Years,B.Arch,HS,Gender-Neutral,GEN-PWD,0,13,13
IIT-Bombay,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,13,28
NIT-Tiruchirappalli,Electrical and Electronics Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,13,13
IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,13,47
IIT-Indore,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,13,13
IIT-Kharagpur,Electrical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,1,14,14
IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,14,19
IIT-Bombay,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,14,183
IIT-(ISM) Dhanbad,Electronics and Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,14,14
IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,14,92
NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,SC-PWD,0,14,36
IIT-Bombay,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,14,42
IIT-Hyderabad,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,14,40
IIT-Guwahati,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,14,14
IIT-Guwahati,Electronics and Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,14,67
NIT-Nagpur,Architecture,5 Years,B.Arch,OS,Gender-Neutral,SC-PWD,0,14,14
NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST,0,14,183
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,OBC-NCL-PWD,0,14,14
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,ST,0,14,113
IIT-Bombay,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,14,37
NIT-Karnataka-Surathkal,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST-PWD,0,14,55
NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,HS,Gender-Neutral,ST-PWD,0,14,37
IIT-Kanpur,Aerospace Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,15,15
NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,15,62
IIT-Kanpur,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,15,201
IIT-Bombay,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,15,15
IIT-Madras,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,15,15
IIT-Delhi,Engineering Physics,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,15,126
IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,15,353
IIT-(ISM) Dhanbad,Mining Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,15,962
IIT-Indore,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,15,15
IIT-Kharagpur,Aerospace Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,16,16
